Player,Span,Mat,Inns,NO,Runs,Ducks
DW Steyn (DCH/GL/RCB/SRH),2008-2020,95,37,15,167,19*
Kuldeep Yadav (DC/KKR),2016-2025,97,38,23,201,35*
KK Nair (DC/KXIP/RCB/RR),2013-2025,83,75,5,1650,89
DJ Hooda (CSK/KXIP/LSG/PBKS/RR/SRH),2015-2025,124,101,16,1496,64
M Vijay (CSK/DC/KXIP),2009-2020,106,106,5,2619,127
DJ Bravo (CSK/GL/MI),2008-2022,161,113,44,1560,70*
AD Russell (DC/KKR),2012-2025,139,114,21,2651,88*
KA Pollard (MI),2010-2022,189,171,52,3412,87*
KK Ahmed (CSK/DC/SRH),2018-2025,70,7,2,2,1*
PJ Sangwan (DC/GL/GT/KKR/MI),2008-2022,42,15,7,26,6*
DL Chahar (CSK/MI/RPS),2016-2025,94,17,9,117,39
UBT Chand (DC/MI/RR),2011-2016,21,20,-,300,58
VVS Laxman (DCH/Kochi),2008-2011,20,20,2,282,52
Anuj Rawat (RCB/RR),2021-2024,24,21,5,318,66
