Player,Span,Mat,Inns,NO,Runs,HS,Ave
NA Saini,2022-2023,4,1,-,2,2,2.00
C Sakariya,2021-2021,14,6,1,16,7,3.20
D Salunkhe,2008-2008,6,3,1,33,26*,16.50
SV Samson,2013-2025,147,142,17,3966,119,31.72
Sandeep Sharma,2023-2025,33,3,3,8,6*,-
KR Sen,2022-2024,12,1,1,-,0*,-
OA Shah,2012-2013,15,15,4,365,76,33.18
PR Shah,2011-2011,2,1,-,5,5,5.00
T Shamsi,2021-2021,1,1,1,2,2*,-
DJM Short,2018-2018,7,7,-,115,44,16.42
R Shukla,2013-2013,3,1,1,1,1*,-
A Singh,2009-2012,23,5,1,2,1*,0.50
GC Smith,2008-2010,25,25,3,697,91,31.68
SPD Smith,2014-2020,50,43,8,1070,79*,30.57
IS Sodhi,2018-2019,8,2,-,7,6,3.50
Sohail Tanvir,2008-2008,11,5,2,36,13,12.00
TG Southee,2014-2015,10,4,2,17,7*,8.50
BB Sran,2015-2015,1,-,-,-,-,-
S Sreesanth,2013-2013,7,3,2,1,1*,1.00
BA Stokes,2018-2021,31,31,5,604,107*,23.23
V Suryavanshi,2025-2025,5,5,-,155,101,31.00
SW Tait,2010-2013,21,5,2,23,11,7.66
PV Tambe,2013-2015,26,5,3,11,3*,5.50
LRPL Taylor,2011-2011,12,11,6,181,47*,36.20
R Tewatia,2014-2021,32,23,6,426,53,25.05
M Theekshana,2025-2025,11,4,2,10,5,5.00
J Theron,2015-2015,1,1,1,1,1*,-
O Thomas,2019-2019,4,-,-,-,-,-
RA Tripathi,2018-2019,20,19,4,367,80*,24.46
SK Trivedi,2008-2013,76,15,8,42,9,6.00
AJ Turner,2019-2019,4,4,1,3,3*,1.00
AJ Tye,2020-2020,1,1,-,6,6,6.00
JD Unadkat,2018-2021,39,15,7,100,26,12.50
A Uniyal,2010-2010,2,2,1,4,4*,4.00
RV Uthappa,2020-2020,12,12,-,196,41,16.33
PC Valthaty,2009-2009,2,2,-,6,5,3.00
HE van der Dussen,2022-2022,3,3,1,22,12*,11.00
AC Voges,2010-2010,9,7,3,181,45*,45.25
M Vohra,2021-2021,4,4,-,42,14,10.50
SB Wagh,2010-2010,1,-,-,-,-,-
SK Warne,2008-2011,55,29,9,198,34*,9.90
SR Watson,2008-2015,78,76,11,2372,104*,36.49
K Yadav,2021-2023,3,1,1,-,0*,-
DH Yagnik,2011-2014,25,17,7,170,34,17.00
Younis Khan,2008-2008,1,1,-,3,3,3.00
Yudhvir Singh,2025-2025,3,-,-,-,-,-
A Zampa,2023-2023,6,3,-,10,7,3.33
