Player,Span,Mat,Inns,NO,Runs,HS,Ave
DT Patil,2008-2008,2,2,-,13,9,6.50
JR Philippe,2020-2020,5,5,1,78,33,19.50
KP Pietersen,2009-2010,13,13,3,329,66*,32.90
LA Pomersbach,2011-2011,5,4,-,51,29,12.75
SS Prabhudessai,2022-2024,11,10,-,126,34,12.60
CA Pujara,2011-2013,14,10,-,143,51,14.30
KL Rahul,2013-2016,19,14,3,417,68*,37.90
R Rampaul,2013-2014,12,7,2,51,23*,10.20
S Rana,2014-2014,9,7,4,73,19*,24.33
Rasikh Salam,2025-2025,2,-,-,-,-,-
P Ray Barman,2019-2019,1,1,-,19,19,19.00
KW Richardson,2016-2021,5,1,1,1,1*,-
RR Rossouw,2014-2015,5,5,-,53,24,10.60
SE Rutherford,2022-2022,3,2,-,33,28,16.50
JD Ryder,2009-2009,5,5,-,56,32,11.20
Sachin Baby,2016-2021,15,10,2,141,33,17.62
Shahbaz Ahmed,2020-2023,39,25,6,321,45,16.89
NA Saini,2019-2021,28,6,3,31,12*,10.33
PD Salt,2025-2025,9,9,-,239,65,26.55
DJG Sammy,2015-2015,2,2,-,13,7,6.50
DR Sams,2021-2021,2,2,1,6,3*,6.00
T Shamsi,2016-2016,4,-,-,-,-,-
H Sharma,2023-2024,2,-,-,-,-,-
JM Sharma,2025-2025,11,8,3,128,40*,25.60
KV Sharma,2009-2024,17,6,-,35,20,5.83
R Shepherd,2025-2025,4,1,1,53,53*,-
RP Singh,2013-2013,11,-,-,-,-,-
TG Southee,2018-2019,11,5,3,61,36*,30.50
S Sriram,2010-2010,1,1,-,27,27,27.00
B Stanlake,2017-2017,2,-,-,-,-,-
MA Starc,2014-2015,27,12,5,96,29,13.71
DW Steyn,2008-2020,33,10,4,16,8,2.66
MP Stoinis,2019-2019,10,10,6,211,46*,52.75
Suyash Sharma,2025-2025,10,-,-,-,-,-
Swapnil Singh,2024-2024,7,5,3,37,15*,18.50
J Syed Mohammad,2011-2013,11,5,3,29,13*,14.50
YV Takawale,2014-2014,5,5,-,104,45,20.80
LRPL Taylor,2008-2010,22,22,5,517,81*,30.41
SS Tiwary,2011-2013,40,30,10,487,52,24.35
RJW Topley,2023-2024,5,1,1,3,3*,-
